text,intent,sentiment
ZENDS has been wonderful! I cannot connect to ZENDFiber Home 300Mbps service at all.,Technical,Happy
Please escalate my refund request for Prepaid Basic. ZENDS never disappoints!,Refund,Happy
This is absolutely unacceptable! Can I get a bundle offer for mobile and broadband?,Product Inquiry,Angry
I cannot believe this! I did not receive my invoice for ZENDSmart Traffic this month.,Billing,Angry
Cloud service ZENDFleet IoT is showing downtime.,Technical,Neutral
"Hi, I love ZENDS service! Does ZENDSmart Traffic support international roaming?",Product Inquiry,Happy
"This is the worst service ever! I did not use ZENDOffice Net 200 at all, please refund $150.",Refund,Angry
My refund was rejected but I meet all the criteria.,Refund,Neutral
I filed a complaint 2 weeks ago and got no response. Kindly look into this matter.,Complaint,Neutral
I am happy with ZENDS! Your SLA was breached for my account ACC41571.,Complaint,Happy
I need a copy of my bill for ZENDOffice Net 200. Very happy with the service!,Billing,Happy
Your service is amazing! My ZENDBiz Connect 500 eSIM is not activating.,Technical,Happy
"I cannot believe this! I cancelled ZENDBiz Connect 100 within 7 days, please process my refund.",Refund,Angry
"This is absolutely unacceptable! I was charged $72 wrongly, I need a refund.",Refund,Angry
I filed a complaint 1 week ago and got no response. Truly satisfied customer here!,Complaint,Happy
"Hi, I love ZENDS service! I was double charged for ZENDSmart Lighting this month.",Billing,Happy
My refund was rejected but I meet all the criteria. Truly satisfied customer here!,Refund,Happy
Your SLA was breached for my account ACC10074. Looking forward to more great service!,Complaint,Happy
Can I get a detailed breakdown of my Postpaid Gold charges? I will escalate this issue!,Billing,Angry
This is the worst experience I have had with ZENDS. I expect an urgent response!,Complaint,Angry
This is outrageous! My refund for ZENDStorage 10TB has not been processed yet.,Refund,Angry
Refund request for account ACC24371 is still pending.,Refund,Neutral
I did not receive my invoice for ZENDBiz Connect 500 this month. Fix this now or I will switch providers!,Billing,Angry
When is my next billing date for ZENDCloud VM Basic? I am very disappointed with ZENDS!,Billing,Angry
I am very angry about this! I am planning to switch providers due to poor service.,Complaint,Angry
I am very angry about this! I am extremely frustrated with ZENDS customer support.,Complaint,Angry
ZENDS has been wonderful! I did not receive my invoice for Prepaid Basic this month.,Billing,Happy
Great service so far! Why is my refund taking more than 2 weeks?,Refund,Happy
I really enjoy using ZENDS! I did not receive my invoice for Prepaid Basic this month.,Billing,Happy
Thank you ZENDS! Can I get a bundle offer for mobile and broadband?,Product Inquiry,Happy
There is an incorrect charge of $30 on my account. Thank you for the excellent support!,Billing,Happy
This is ridiculous! My bill shows $200 but I should be charged less.,Billing,Angry
Kindly help me with My router for ZENDSmart Traffic is not responding.,Technical,Neutral
Please escalate my refund request for ZENDSmart Parking. Looking forward to more great service!,Refund,Happy
I filed a complaint 1 month ago and got no response. I would appreciate your help.,Complaint,Neutral
I am very satisfied! My ZENDEnterprise Dedicated connection keeps dropping every few minutes.,Technical,Happy
My complaint ticket TKT81426 has been ignored. ZENDS never disappoints!,Complaint,Happy
There is an incorrect charge of $60 on my account.,Billing,Neutral
Refund request for account ACC84364 is still pending. ZENDS is the best provider!,Refund,Happy
This is outrageous! What is the difference between Postpaid Gold and Platinum?,Product Inquiry,Angry
I really enjoy using ZENDS! Can I upgrade from Postpaid Silver to a higher plan?,Product Inquiry,Happy
"I was charged $60 wrongly, I need a refund.",Refund,Neutral
Great service so far! There is an incorrect charge of $200 on my account.,Billing,Happy
I really enjoy using ZENDS! Cloud service ZENDCloud VM Pro is showing downtime.,Technical,Happy
I am very satisfied! I am extremely frustrated with ZENDS customer support.,Complaint,Happy
I want a refund for ZENDBiz Connect 1G as it is not working. I demand an immediate resolution!,Refund,Angry
I really enjoy using ZENDS! My IoT device ZENDEnterprise Dedicated is not sending data.,Technical,Happy
I am very satisfied! I cannot connect to ZENDFleet IoT service at all.,Technical,Happy
When is my next billing date for ZENDFleet IoT? I am very disappointed with ZENDS!,Billing,Angry
This is outrageous! My refund was rejected but I meet all the criteria.,Refund,Angry
What is included in the Enterprise Dedicated support?,Product Inquiry,Neutral
I was charged $80 but my plan is only $80. I would appreciate your help.,Billing,Neutral
I want to understand Can I get a bundle offer for mobile and broadband?,Product Inquiry,Neutral
Your service is amazing! I want to escalate my complaint regarding Postpaid Platinum.,Complaint,Happy
This is the worst service ever! I have been waiting for 2 weeks with no resolution.,Complaint,Angry
"Hi, I love ZENDS service! I am extremely frustrated with ZENDS customer support.",Complaint,Happy
My enterprise account ACC37869 has wrong billing details. Fix this now or I will switch providers!,Billing,Angry
What IoT solutions does ZENDS offer for smart cities? I demand an immediate resolution!,Product Inquiry,Angry
When is my next billing date for ZENDStorage 1TB? I expect an urgent response!,Billing,Angry
My ZENDBiz Connect 1G internet is not working since 1 month. Fix this now or I will switch providers!,Technical,Angry
Kindly help me with I was charged $120 but my plan is only $120.,Billing,Neutral
"I was charged $120 wrongly, I need a refund. Thank you for the excellent support!",Refund,Happy
I keep getting transferred between agents with no help. I am very disappointed with ZENDS!,Complaint,Angry
My bill shows $120 but I should be charged less. Keep up the great work!,Billing,Happy
My auto-payment failed for ZENDIndustrial Sensor plan. I demand an immediate resolution!,Billing,Angry
My enterprise account ACC44438 has wrong billing details. Very happy with the service!,Billing,Happy
I am fed up with ZENDS! There is an incorrect charge of $30 on my account.,Billing,Angry
"Hi, I love ZENDS service! My router for ZENDStorage 10TB is not responding.",Technical,Happy
I was promised a resolution in 1 week but nothing happened. I expect an urgent response!,Complaint,Angry
There is network outage in my area for 1 week.,Technical,Neutral
Your support team was very rude to me. Truly satisfied customer here!,Complaint,Happy
I want to understand Refund request for account ACC41385 is still pending.,Refund,Neutral
I am fed up with ZENDS! Can you explain the charges on my ACC44973 account?,Billing,Angry
I am getting error while setting up ZENDBiz Connect 500. Please guide me on this.,Technical,Neutral
I want to escalate my complaint regarding ZENDSmart Parking. Please provide an update.,Complaint,Neutral
I want to escalate my complaint regarding ZENDIndustrial Sensor. I will escalate this issue!,Complaint,Angry
ZENDS service has been very disappointing lately. I would appreciate your help.,Complaint,Neutral
I have not received my bill for the past 1 month. I demand an immediate resolution!,Billing,Angry
There is an incorrect charge of $60 on my account. I expect an urgent response!,Billing,Angry
What are the available plans in USA? This needs to be fixed immediately!,Product Inquiry,Angry
"I cancelled ZENDBiz Connect 100 within 7 days, please process my refund. Very happy with the service!",Refund,Happy
Please provide information about What is the SLA for ZENDBiz Connect 500 enterprise plan?,Product Inquiry,Neutral
I am extremely frustrated with ZENDS customer support. I will escalate this issue!,Complaint,Angry
My refund was rejected but I meet all the criteria. Please guide me on this.,Refund,Neutral
"I did not use ZENDStorage 1TB at all, please refund $120. Thank you for your assistance.",Refund,Neutral
I am fed up with ZENDS! Can I get a bundle offer for mobile and broadband?,Product Inquiry,Angry
My IoT device ZENDEnterprise Dedicated is not sending data. Kindly look into this matter.,Technical,Neutral
My refund for ZENDStorage 10TB has not been processed yet. I would appreciate your help.,Refund,Neutral
My ZENDEnterprise Dedicated data speed is very slow. This has gone too far!,Technical,Angry
Could you clarify The ZENDStorage 1TB app is crashing on my device.,Technical,Neutral
I am very angry about this! How do I migrate to ZENDIndustrial Sensor from my current plan?,Product Inquiry,Angry
This is the worst service ever! Please escalate my refund request for ZENDCloud VM Basic.,Refund,Angry
Please escalate my refund request for ZENDSmart Traffic.,Refund,Neutral
When is my next billing date for ZENDFiber Home 1Gbps? Truly satisfied customer here!,Billing,Happy
This is the worst service ever! Can you explain the charges on my ACC30032 account?,Billing,Angry
My refund was rejected but I meet all the criteria. This has gone too far!,Refund,Angry
Your service is amazing! I am getting error while setting up ZENDFleet IoT.,Technical,Happy
I am happy with ZENDS! What is included in the Enterprise Dedicated support?,Product Inquiry,Happy
I am happy with ZENDS! When is my next billing date for ZENDFleet IoT?,Billing,Happy
My refund was rejected but I meet all the criteria. Please guide me on this.,Refund,Neutral
Thank you ZENDS! I filed a complaint 3 days ago and got no response.,Complaint,Happy
There is an incorrect charge of $80 on my account. Please guide me on this.,Billing,Neutral
I am very satisfied! My Prepaid Basic internet is not working since 1 month.,Technical,Happy
Your service is amazing! Can I get a bundle offer for mobile and broadband?,Product Inquiry,Happy
There is an incorrect charge of $30 on my account. Please respond at your earliest convenience.,Billing,Neutral
This is absolutely unacceptable! Nobody from ZENDS has followed up on my issue.,Complaint,Angry
What is the data limit for Postpaid Silver plan? This needs to be fixed immediately!,Product Inquiry,Angry
This is ridiculous! Can I get a detailed breakdown of my ZENDIndustrial Sensor charges?,Billing,Angry
How do I migrate to ZENDEnterprise Ultra from my current plan?,Product Inquiry,Neutral
Can I upgrade from ZENDEnterprise Ultra to a higher plan?,Product Inquiry,Neutral
Kindly help me with Tell me about ZENDCloud VM plans and pricing.,Product Inquiry,Neutral
I am fed up with ZENDS! I want a refund for ZENDIndustrial Sensor as it is not working.,Refund,Angry
I would like to know My ZENDArchive Storage internet is not working since 3 days.,Technical,Neutral
This is the worst service ever! What is included in the Enterprise Dedicated support?,Product Inquiry,Angry
